code,code_name,close,mktcap
sh.600629,华建集团,19.59,192.35
sh.600633,浙数文化,12.7,166.71
sh.600637,东方明珠,10.39,344.05
sh.600639,浦东金桥,9.95,85.83
sh.600640,国脉文化,12.85,106.7
sh.600641,先导基电,26.66,273.06
sh.600642,申能股份,9.51,467.24
sh.600644,乐山电力,11.25,66.49
sh.600645,中源协和,21.14,104.12
sh.600648,外高桥,9.79,112.55
sh.600651,飞乐音响,6.83,178.49
sh.600660,福耀玻璃,54.34,1103.09
sh.600663,陆家嘴,7.11,238.12
sh.600667,太极实业,12.42,272.78
sh.600673,东阳光,36.18,1120.76
sh.600674,川投能源,14.8,736.32
sh.600676,交运股份,7.23,79.35
sh.600683,京投发展,14.51,121.03
sh.600685,中船防务,29.93,250.61
sh.600686,金龙汽车,14.1,103.27
sh.600690,海尔智家,20.44,1315.54
sh.600693,东百集团,9.47,86.34
sh.600694,大商股份,17.21,60.76
sh.600698,湖南天雁,7.1,62.33
sh.600699,均胜电子,30.18,408.6
sh.600702,舍得酒业,41.78,139.75
sh.600703,三安光电,15.7,822.46
sh.600707,彩虹股份,11.42,386.66
sh.600710,苏美达,12.07,156.62
sh.600711,盛屯矿业,12.0,387.62
sh.600714,金瑞矿业,27.15,78.52
sh.600718,东软集团,8.62,105.73
sh.600720,中交设计,6.17,64.04
sh.600722,金牛化工,11.33,82.91
sh.600724,宁波富达,7.4,113.39
sh.600726,华电能源,6.19,517.18
sh.600732,爱旭股份,12.45,274.69
sh.600733,北汽蓝谷,6.56,325.52
sh.600736,苏州高新,7.43,93.03
sh.600737,中粮糖业,14.3,331.23
sh.600739,辽宁成大,11.19,173.33
sh.600741,华域汽车,17.03,550.86
sh.600742,富维股份,8.7,65.48
sh.600744,华银电力,7.67,163.73
sh.600746,江苏索普,6.93,85.42
sh.600750,华润江中,22.53,143.14
sh.600754,锦江酒店,21.37,197.82
sh.600755,厦门国贸,6.03,130.97
sh.600756,浪潮软件,15.23,52.16
sh.600757,长江传媒,8.1,100.59
sh.600760,中航沈飞,45.96,1321.05
sh.600761,安徽合力,18.7,170.88
sh.600763,通策医疗,36.72,170.93
sh.600764,中国海防,21.7,159.63
sh.600765,中航重机,15.08,240.84
sh.600769,祥龙电业,18.9,84.05
sh.600770,综艺股份,6.62,91.6
sh.600771,广誉远,15.12,76.75
sh.600773,西藏城投,20.0,197.92
sh.600775,南京熊猫,12.02,85.66
sh.600776,东方通信,15.58,158.7
sh.600779,水井坊,31.49,152.21
sh.600780,通宝能源,6.85,81.79
sh.600783,鲁信创投,23.79,168.37
sh.600784,鲁银投资,7.95,53.35
sh.600789,鲁抗医药,8.11,74.22
sh.600791,京能置业,14.65,68.68
sh.600797,浙大网新,8.69,92.44
sh.600801,华新建材,18.63,258.35
sh.600803,新奥股份,20.21,637.04
sh.600809,山西汾酒,131.37,1601.98
sh.600810,神马股份,6.76,75.51
sh.600814,杭州解百,7.13,53.72
sh.600817,宇通重工,10.13,56.07
sh.600819,耀皮玻璃,6.97,54.39
sh.600821,金开新能,8.17,165.84
sh.600826,兰生股份,8.78,66.99
sh.600827,百联股份,8.11,133.14
sh.600829,人民同泰,8.78,53.08
sh.600835,上海机电,25.68,201.48
sh.600839,四川长虹,8.3,393.35
sh.600841,动力新科,7.61,83.08
sh.600845,宝信软件,22.55,507.63
sh.600846,同济科技,12.25,78.49
sh.600848,上海临港,8.71,211.78
sh.600850,电科数字,21.55,144.67
sh.600851,海欣股份,7.34,57.57
sh.600855,航天长峰,18.24,91.11
sh.600859,王府井,10.98,127.92
sh.600861,北京人力,14.76,55.05
sh.600862,中航高科,19.45,279.14
sh.600867,通化东宝,8.39,169.25
sh.600869,远东股份,21.0,480.66
sh.600872,中炬高新,19.82,155.51
sh.600873,梅花生物,9.51,264.25
sh.600875,东方电气,36.12,866.43
sh.600877,电科芯片,15.66,194.18
sh.600879,航天电子,22.37,768.92
sh.600882,妙可蓝多,19.0,98.9
sh.600884,杉杉股份,14.46,277.6
sh.600885,宏发股份,33.66,497.53
sh.600886,国投电力,13.28,998.05
sh.600887,伊利股份,26.76,1718.45
sh.600888,新疆众和,9.37,137.9
sh.600893,航发动力,45.59,1256.22
sh.600894,广日股份,8.15,70.7
sh.600895,张江高科,37.31,557.04
sh.600897,厦门空港,14.67,62.94
sh.600900,长江电力,26.66,6603.3
sh.600901,江苏金租,6.4,380.03
sh.600903,贵州燃气,9.99,105.76
sh.600906,财达证券,6.39,135.56
sh.600909,华安证券,7.12,322.59
sh.600916,中国黄金,8.08,139.73
sh.600919,江苏银行,11.29,2053.92
sh.600926,杭州银行,16.13,1183.45
sh.600927,永安期货,14.47,215.41
sh.600930,华电新能,6.04,201.01
sh.600933,爱柯迪,17.5,171.27
sh.600938,中国海油,36.22,1100.23
sh.600941,中国移动,96.75,897.38
sh.600955,维远股份,17.31,98.72
sh.600956,新天绿能,8.57,208.25
sh.600958,东方证券,9.65,727.56
sh.600961,株冶集团,26.18,212.66
sh.600962,国投中鲁,25.84,67.73
