code,industry
sh.600498,计算机、通信和其他电子设备制造业
sh.600499,专用设备制造业
sh.600500,化学原料和化学制品制造业
sh.600501,专用设备制造业
sh.600502,土木工程建筑业
sh.600503,房地产业
sh.600505,电力、热力生产和供应业
sh.600506,石油、煤炭及其他燃料加工业
sh.600507,黑色金属冶炼和压延加工业
sh.600508,煤炭开采和洗选业
sh.600509,电力、热力生产和供应业
sh.600510,房地产业
sh.600511,批发业
sh.600512,土木工程建筑业
sh.600513,医药制造业
sh.600515,房地产业
sh.600516,非金属矿物制品业
sh.600517,其他金融业
sh.600518,医药制造业
sh.600519,酒、饮料和精制茶制造业
sh.600520,专用设备制造业
sh.600521,医药制造业
sh.600522,电气机械和器材制造业
sh.600523,汽车制造业
sh.600525,电气机械和器材制造业
sh.600526,专用设备制造业
sh.600527,化学纤维制造业
sh.600528,专用设备制造业
sh.600529,非金属矿物制品业
sh.600530,食品制造业
sh.600531,有色金属冶炼和压延加工业
sh.600533,房地产业
sh.600535,医药制造业
sh.600536,软件和信息技术服务业
sh.600537,电气机械和器材制造业
sh.600538,批发业
sh.600539,零售业
sh.600540,农业
sh.600543,酒、饮料和精制茶制造业
sh.600545,专用设备制造业
sh.600546,煤炭开采和洗选业
sh.600547,有色金属矿采选业
sh.600548,道路运输业
sh.600549,有色金属冶炼和压延加工业
sh.600550,电气机械和器材制造业
sh.600551,新闻和出版业
sh.600552,计算机、通信和其他电子设备制造业
sh.600556,互联网和相关服务
sh.600557,医药制造业
sh.600558,金属制品业
sh.600559,酒、饮料和精制茶制造业
sh.600560,专用设备制造业
sh.600561,道路运输业
sh.600562,计算机、通信和其他电子设备制造业
sh.600563,计算机、通信和其他电子设备制造业
sh.600566,医药制造业
sh.600567,造纸和纸制品业
sh.600568,卫生
sh.600569,黑色金属冶炼和压延加工业
sh.600570,软件和信息技术服务业
sh.600571,软件和信息技术服务业
sh.600572,医药制造业
sh.600573,酒、饮料和精制茶制造业
sh.600575,水上运输业
sh.600576,公共设施管理业
sh.600577,电气机械和器材制造业
sh.600578,电力、热力生产和供应业
sh.600579,专用设备制造业
sh.600580,电气机械和器材制造业
sh.600581,黑色金属冶炼和压延加工业
sh.600582,专用设备制造业
sh.600583,开采专业及辅助性活动
sh.600584,计算机、通信和其他电子设备制造业
sh.600585,非金属矿物制品业
sh.600586,非金属矿物制品业
sh.600587,专用设备制造业
sh.600588,软件和信息技术服务业
sh.600589,软件和信息技术服务业
sh.600590,电气机械和器材制造业
sh.600592,通用设备制造业
sh.600593,公共设施管理业
sh.600594,医药制造业
sh.600595,有色金属冶炼和压延加工业
sh.600596,化学原料和化学制品制造业
sh.600597,食品制造业
sh.600598,农业
sh.600599,批发业
sh.600600,酒、饮料和精制茶制造业
sh.600601,计算机、通信和其他电子设备制造业
sh.600602,软件和信息技术服务业
sh.600603,铁路运输业
sh.600604,房地产业
sh.600605,房地产业
sh.600606,土木工程建筑业
sh.600608,批发业
sh.600609,汽车制造业
sh.600610,化学原料和化学制品制造业
sh.600611,道路运输业
sh.600612,文教、工美、体育和娱乐用品制造业
sh.600613,医药制造业
sh.600615,金属制品业
sh.600616,酒、饮料和精制茶制造业
sh.600617,燃气生产和供应业
sh.600618,化学原料和化学制品制造业
sh.600619,通用设备制造业
sh.600620,综合
sh.600621,资本市场服务
sh.600622,房地产业
sh.600623,化学原料和化学制品制造业
sh.600624,医药制造业
sh.600626,纺织业
sh.600628,零售业
sh.600629,专业技术服务业
sh.600630,纺织服装、服饰业
sh.600633,互联网和相关服务
sh.600635,燃气生产和供应业
sh.600636,软件和信息技术服务业
sh.600637,电信、广播电视和卫星传输服务
sh.600638,房地产业
sh.600639,房地产业
sh.600640,互联网和相关服务
sh.600641,房地产业
sh.600642,电力、热力生产和供应业
sh.600643,其他金融业
sh.600644,电力、热力生产和供应业
sh.600645,医药制造业
sh.600648,批发业
sh.600649,房地产业
sh.600650,道路运输业
sh.600651,电气机械和器材制造业
sh.600653,零售业
sh.600654,商务服务业
sh.600655,零售业
sh.600657,房地产业
sh.600658,房地产业
sh.600660,非金属矿物制品业
sh.600661,教育
sh.600662,商务服务业
sh.600663,房地产业
sh.600664,医药制造业
sh.600665,房地产业
sh.600666,非金属矿物制品业
sh.600667,土木工程建筑业
sh.600668,非金属矿物制品业
sh.600671,医药制造业
sh.600673,综合
sh.600674,电力、热力生产和供应业
sh.600675,房地产业
sh.600676,道路运输业
sh.600678,非金属矿物制品业
sh.600679,铁路、船舶、航空航天和其他运输设备制造业
sh.600681,燃气生产和供应业
sh.600682,医药制造业
sh.600683,房地产业
sh.600684,房地产业
sh.600685,铁路、船舶、航空航天和其他运输设备制造业
sh.600686,汽车制造业
sh.600688,石油、煤炭及其他燃料加工业
sh.600689,批发业
sh.600690,电气机械和器材制造业
sh.600691,化学原料和化学制品制造业
sh.600692,房地产业
sh.600693,零售业
sh.600694,零售业
sh.600696,酒、饮料和精制茶制造业
sh.600697,零售业
sh.600698,汽车制造业
sh.600699,计算机、通信和其他电子设备制造业
sh.600702,酒、饮料和精制茶制造业
sh.600703,计算机、通信和其他电子设备制造业
sh.600704,批发业
sh.600706,公共设施管理业
sh.600707,计算机、通信和其他电子设备制造业
sh.600708,房地产业
sh.600710,批发业
sh.600711,有色金属矿采选业
sh.600712,零售业
sh.600713,批发业
sh.600714,化学原料和化学制品制造业
sh.600715,广播、电视、电影和录音制作业
sh.600716,房地产业
sh.600717,水上运输业
sh.600718,软件和信息技术服务业
sh.600719,电力、热力生产和供应业
sh.600720,专业技术服务业
sh.600721,研究和试验发展
sh.600722,化学原料和化学制品制造业
sh.600724,非金属矿物制品业
sh.600725,批发业
sh.600726,电力、热力生产和供应业
sh.600727,化学原料和化学制品制造业
sh.600728,软件和信息技术服务业
sh.600729,零售业
sh.600730,教育
sh.600731,化学原料和化学制品制造业
sh.600732,电气机械和器材制造业
sh.600733,汽车制造业
sh.600734,软件和信息技术服务业
sh.600735,其他制造业
sh.600736,房地产业
sh.600737,农副食品加工业
sh.600738,零售业
sh.600739,批发业
sh.600740,石油、煤炭及其他燃料加工业
sh.600741,汽车制造业
sh.600742,汽车制造业
sh.600743,房地产业
sh.600744,电力、热力生产和供应业
sh.600745,计算机、通信和其他电子设备制造业
sh.600746,化学原料和化学制品制造业
sh.600748,房地产业
sh.600749,公共设施管理业
sh.600750,医药制造业
sh.600751,水上运输业
sh.600753,批发业
sh.600754,住宿业
sh.600755,商务服务业
sh.600756,软件和信息技术服务业
sh.600757,新闻和出版业
sh.600758,煤炭开采和洗选业
sh.600759,石油和天然气开采业
sh.600760,铁路、船舶、航空航天和其他运输设备制造业
sh.600761,通用设备制造业
sh.600763,卫生
sh.600764,计算机、通信和其他电子设备制造业
sh.600765,铁路、船舶、航空航天和其他运输设备制造业
sh.600768,有色金属冶炼和压延加工业
sh.600769,水的生产和供应业
sh.600770,电力、热力生产和供应业
sh.600771,医药制造业
sh.600773,房地产业
sh.600774,医药制造业
sh.600775,计算机、通信和其他电子设备制造业
sh.600776,计算机、通信和其他电子设备制造业
sh.600777,石油和天然气开采业
sh.600778,零售业
sh.600779,酒、饮料和精制茶制造业
sh.600780,电力、热力生产和供应业
sh.600782,黑色金属冶炼和压延加工业
sh.600783,资本市场服务
sh.600784,食品制造业
sh.600785,零售业
sh.600787,装卸搬运和仓储业
sh.600789,医药制造业
sh.600790,商务服务业
sh.600791,房地产业
sh.600792,石油、煤炭及其他燃料加工业
sh.600793,造纸和纸制品业
sh.600794,装卸搬运和仓储业
sh.600795,电力、热力生产和供应业
sh.600796,水的生产和供应业
sh.600797,软件和信息技术服务业
sh.600798,水上运输业
sh.600800,化学原料和化学制品制造业
sh.600801,非金属矿物制品业
sh.600802,非金属矿物制品业
sh.600803,燃气生产和供应业
sh.600805,综合
sh.600807,医药制造业
sh.600808,黑色金属冶炼和压延加工业
sh.600809,酒、饮料和精制茶制造业
sh.600810,化学纤维制造业
sh.600812,医药制造业
sh.600814,零售业
sh.600815,专用设备制造业
sh.600816,其他金融业
sh.600817,专用设备制造业
sh.600818,铁路、船舶、航空航天和其他运输设备制造业
sh.600819,非金属矿物制品业
sh.600820,土木工程建筑业
sh.600821,电力、热力生产和供应业
sh.600822,批发业
sh.600824,零售业
sh.600825,新闻和出版业
sh.600826,商务服务业
sh.600827,零售业
sh.600828,零售业
sh.600829,批发业
sh.600830,其他金融业
sh.600831,电信、广播电视和卫星传输服务
sh.600833,零售业
sh.600834,综合
sh.600835,通用设备制造业
sh.600838,零售业
sh.600839,计算机、通信和其他电子设备制造业
sh.600841,通用设备制造业
sh.600843,专用设备制造业
sh.600844,化学原料和化学制品制造业
sh.600845,软件和信息技术服务业
sh.600846,土木工程建筑业
sh.600847,电气机械和器材制造业
sh.600848,房地产业
sh.600850,软件和信息技术服务业
sh.600851,医药制造业
sh.600853,土木工程建筑业
sh.600854,电气机械和器材制造业
sh.600855,专用设备制造业
sh.600857,零售业
